Country,Total Trades,Average number of Trades,Sum of Trade Weights (kg),Average Trade Weight (kg),Total Trade Amount (USD),Average Trade Amount (USD),Income Group,Inflation Rate (%),GDP Growth Rate (%),Unemployment Rate (%),Interest Rate (%),Stock Index Value,Access to electricity (% of population),Agricultural land (% of land area),Annual CO2 combustion emissions at operating coal mines (Mt CO2),Annual CO2 combustion emissions at proposed coal projects (Mt CO2),Annual methane emissions at operating coal mines (Mt CO2e 100 years),Annual methane emisssions at proposed coal projects (Mt CO2e 100 years),Arable land (% of land area),Capacity of Liquefied Natural Gas export terminals (Mt per year) - Operating,Capacity of Liquefied Natural Gas import terminals (Mt per year) - Operating,"Central government debt, total (% of GDP)",Coal rents (% of GDP),Electricity net consumption,Electricity net generation,Gas pipeline capacity by project status (barrels of oil equivalent per day) - Operating,GDP (current US$),GDP growth (annual %),GDP per capita (current US$),Gini index (World Bank estimate),Government Effectiveness: Estimate,Lifetime CO2 emissions from coal plants (Mt CO2),"Literacy rate, adult total (% of people ages 15 and above)",Mineral rents (% of GDP),Natural gas rents (% of GDP),Oil pipeline capacity by project status (barrels of oil equivalent per day) - Operating,Oil rents (% of GDP),Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),Share of surface occupied by forest (% of total),Tax revenue (% of GDP),Total coal capacity by plant status (MW) - Operating,Total natural resources rents (% of GDP),Total steelmaking capacity (thousand tonnes per annum),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population (% of total population),2025 [2025] Old Exchange rate,2025M01 [2025M01] New Exchange Rate,Continent,Country/Region,Population,Trade Balance
cyprus,9663584.0,123892.1025641026,464116.107,7032.062227272728,14239661.103,177995.7637875,High income,,,,,,100.0,45.64686659188977,42.0,11.0,1.0,1.0,32.17877335229052,0.0,0.0,0.0,0.0736674984875989,60.814,75.084,582049.0,527680171923.3734,-2.455160867879826,49311.99954847136,0.0,2.059427738189701,716.0,0.0,0.0,0.0042960583133488,273791.0,0.006836782195641,0.0,34.67799192549392,14.37603380311173,8007.1,0.438722195453132,6200.0,9.6690000295639,446.877,0.966439652,0.966439652,Europe,Cyprus,1256000,13775544.996
czech republic,827754213.0,15328781.72222222,16664318.641,314421.1064339623,774958142.0,14351076.7037037,High income,,,,,,100.0,65.499675,0.0,0.0,0.0,0.0,59.27325,0.0,0.0,0.0,0.0,33.081,28.457,434941.0,753189211163.94,2.631308058591117,128866.363535064,0.0,3.88534092903137,31.0,0.0,0.0,0.0205452004386556,0.0,0.183933439271462,0.0,15.711,33.98502393284416,1180.0,0.219520566615741,0.0,18.97599935531617,530.6030000000001,24.31379545,24.31379545,Europe,Czech Republic,10525000,758293823.359
denmark,277308025.061,5659347.45022449,14699858.254,272219.5972962963,635898138.368,11775891.45125926,High income,,,,,,100.0,33.33333333333333,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.163248,0.0,1049833333.333333,-10.06916496626091,14563.83406052513,0.0,-0.1887558102607727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.82666666666667,0.0,0.0,0.0457722362182372,0.0,0.0,431.1220000000001,7.209568182,7.209568182,Europe,Denmark,5892000,621198280.1140001
dominica,22971.0,3281.571428571428,48654.12,2316.862857142857,867085.4449999998,37699.36717391304,Upper middle income,,,,,,98.8499984741211,21.82315992913513,0.0,0.0,0.0,0.0,4.17941697535835,0.0,0.0,0.0,0.0,0.0,32.13185,0.0,205456990000.0,-3.552355849208496,11562.64777567337,47.3,-0.655173942446708,0.0,93.6260986328125,0.0,0.0112430128872318,900000.0,4.39456553754512,34.6,50.32142857142857,12.53553397863287,0.0,4.75666507381545,0.0,24.44799995422364,388.198,..,..,North America,Dominica,73000,818431.3249999998
dominican republic,2691075.374,224256.2811666667,17328659.857,618880.7091785716,19915637.842,538260.4822162163,Upper middle income,,,,,,100.0,3.989150635391029,0.0,0.0,0.0,0.0,3.380380732332111,7.2,5.7,0.0,0.0,0.0,157.97,50250.0,769395417371.905,6.896411565557202,7445.566434944571,0.0,-0.8522943556308751,413.901,0.0,0.0,0.447781472548197,2640000.0,2.11697906801699,0.0,0.0451855944547692,0.0,0.0,2.69101761584955,13650.0,35.97900009155273,258.414,61.37372727,61.37372727,North America,Dominican Republic,11332000,2586977.9849999994
ecuador,10466195.0,436091.4583333333,1471853.918,30037.83506122449,19818152.192,404452.0855510205,Upper middle income,,,,,,100.0,57.70752895752895,0.0,0.0,0.0,0.0,34.7972972972973,0.0,0.0,71.19119824406462,0.0,0.0,6.6371,0.0,53400000000.0,2.219556434554448,8207.15688593788,0.0,-0.546474888920784,70.0,89.9845275878906,0.0,0.0,0.0,0.0,0.0,28.17953667953668,18.60161566834641,0.0,0.755814178865303,0.0,23.5880002975464,450.294,1,1,South America,Ecuador,18190000,18346298.274
egypt,1348988.0,1348988.0,537954.939,20690.57457692308,35865740.473,1280919.302607143,Lower middle income,,,,,,52.1710968017578,62.7226371689837,0.0,0.0,0.0,0.0,5.700555801712164,0.0,0.0,0.0,0.0,0.0,0.43665555143469,0.0,0.0,0.0,0.0,0.0,-3.30100011825561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.718215239586637,0.0,0.0,0.0,0.0,31.63299942016601,257.692,50.48106818,50.48106818,Africa,Egypt,112716000,35327785.533999994
el salvador,2815.0,1407.5,569465.6699999998,12116.29085106383,10310404.43,214800.0922916666,Upper middle income,,,,,,100.0,23.04093567251462,0.0,0.0,0.0,0.0,16.23391812865497,0.0,0.0,24.32836419923426,0.0,9.172,5.902,113989.0,66913209825.32555,5.398384307430902,50335.01693029712,0.0,2.717329621315,0.0,0.0,0.0,0.0,0.0,0.184946157905679,0.0,57.03859649122806,21.17693846668625,0.0,1.09070720769718,0.0,23.17600011825562,418.317,8.75,8.75,North America,El Salvador,6550000,9740938.76
eritrea,1727.0,1727.0,53.0,53.0,3869.0,3869.0,Low income,,,,,,51.0939826965332,34.09275177673427,0.0,0.0,0.0,0.0,14.35009068744985,0.0,0.0,0.0,4.26454109692503e-05,0.0,14.1518473178445,0.0,218928846722.4207,11.69683389462594,1880.416441787675,0.0,-1.163693308830261,34.0,0.0,0.0117398553852836,0.0,0.0,0.0,0.0,15.12398953379342,6.19629946992619,0.0,5.08796385377381,1300.0,15.05800032615662,137.521,..,..,Africa,Eritrea,3748000,3816.0
estonia,55931126.0,847441.303030303,921800.117,15363.33528333334,44311602.58499999,671387.9179545454,High income,,,,,,100.0,70.3294289897511,0.0,0.0,0.0,0.0,0.0512445095168374,0.0,0.0,0.0,0.0,0.0,0.4232,0.0,3240759988.994528,0.0,66320.67919767785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0585651537335285,0.0,0.0,0.0,0.0,0.0,257.39,0.966439652,0.966439652,Europe,Estonia,1286000,43389802.467999995
ethiopia,266.03,66.5075,931377.044,27393.44247058823,8049054.597000001,236736.8999117647,Low income,,,,,,100.0,17.05528188286809,0.0,0.0,0.0,0.0,4.203612479474549,0.0,0.0,0.0,0.0,0.0,0.995487,0.0,9166532532.865215,-19.2322415921804,10188.81557120843,0.0,1.169111132621765,0.0,0.0,0.45501827099876,0.0,0.0,0.0,0.0,62.3984674329502,18.8486607481974,0.0,1.51076320072247,0.0,19.06900024414062,350.787,126.4679545,126.4679545,Africa,Ethiopia,126527000,7117677.553000001
fiji,560584.0,13672.78048780488,46968.216,1067.459454545454,2358598.511999999,46247.02964705881,Upper middle income,,,,,,100.0,52.14754628285274,0.0,0.0,0.0,0.0,32.79395569776297,0.0,26.5,123.4200081637616,0.0,472.699,553.714,500493.0,5567790489408.701,-0.8916852494873382,82555.66114399253,0.0,2.50694513320923,91.0,0.0,0.0,0.0,310348.4,0.0044717289706252,0.0,31.5090483730461,24.77584395056582,3029.0,0.031349478603127,15200.0,31.24699974060059,489.859,2.334240795,2.334240795,Oceania,Fiji,939000,2311630.295999999
finland,133373635.791,2424975.1962,3143237.051,57149.76456363637,175557836.7,3134961.369642857,High income,,,,,,100.0,13.68481705560357,0.0,0.0,0.0,0.0,0.7202535292422932,0.0,0.0,0.0,0.0,0.0,0.65742291983224,0.0,5669368717.207236,-7.600011731075455,20182.58450291643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.05963699222126,0.0,0.0,0.0,0.0,56.39599990844719,373.4830000000001,0.966439652,0.966439652,Europe,Finland,5580000,172414599.649
france,1820922481.0,41384601.84090909,140494352.558,2650836.840716981,3899807763.563,69639424.34933928,High income,4.912372881355931,2.016610169491526,6.822881355932205,3.978813559322034,19853.33084745763,91.5715637207031,8.587107540652774,0.0,0.0,0.0,0.0,1.261303217293437,0.0,0.0,0.0,0.0,0.0,2.9483240968055,0.0,33586174473.12613,-0.3324015286474662,14898.70472080426,0.0,-1.75117427110672,0.0,0.0,0.0317219895165283,0.0543607388206979,0.0,14.3218738678033,0.0,91.32068149183064,0.0,0.0,17.6867029963851,0.0,86.8939990997314,545.154,0.966439652,0.966439652,Europe,France,64805000,3759313411.005
french polynesia,842256.0,56150.4,751871.925,17485.39360465116,7615812.691,177111.9230465116,High income,,,,,,62.2730674743652,59.78260869565217,0.0,0.0,0.0,0.0,43.47826086956522,0.0,0.0,0.0,0.0,0.0,0.28958667479908,0.0,3908483683.506085,5.424676231728185,1593.007533000777,0.0,-1.392981946468353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.97924901185771,0.0,0.0,2.81836847620866,0.0,43.8290004730225,384.886,..,..,Oceania,French Polynesia,282000,6863940.766
gabon,762086.328,30483.45312,1273436.819,24969.34939215687,40780744.788,769448.0148679244,Upper middle income,,,,,,100.0,34.21931213124191,0.0,0.0,0.0,0.0,4.461073535760541,0.0,0.0,60.09572032498471,0.0004349120544484,0.0,11.1618,175260.0,34543163924.87767,3.598502837790107,9298.12852098641,34.5,1.407537043094635,52.0,0.0,0.710018014247637,0.0021418765105723,345863.2,0.0182066859859289,58.3,40.61591595913081,21.40531485014426,0.0,0.814814424280577,1570.0,53.0470008850097,363.114,..,..,Africa,Gabon,2431000,39507307.969000004
georgia,8836648.0,192101.0434782609,200077.43,3572.81125,5077039.871000001,87535.1701896552,Upper middle income,,,,,,85.8735504150391,55.39301991359496,0.0,0.0,0.0,0.0,11.04630976605591,0.0,0.0,0.0,0.0,0.0,20.104457,43926.0,147637478868.5681,5.870419545316437,4699.444638303645,0.0,-0.31506535410881,338.0,0.0,2.29008664089522,0.350601673578223,0.0,3.08452502581484,0.0,35.09693099462496,11.3404319629997,0.0,9.47052121495666,0.0,18.2960000038147,353.504,2.8415,2.8415,Asia,Georgia,3716000,4876962.4410000015
germany,6929366934.0,173234173.35,96848085.155,1729430.092053571,6598538290.830001,117831040.9076786,High income,4.902439024390244,2.02390243902439,6.17780487804878,5.323902439024389,20876.18707317073,100.0,45.51736229635377,41.0,0.0,1.0,0.0,16.53941349883631,0.0,5.1,252.4074569155239,0.0172557403487802,46.18,40.572,213574.0,405075791111.1665,-0.6830270748906457,37923.77736268181,0.0,0.881157726049423,262.0,0.0,0.0207661734482977,0.0001691292502066,0.0,0.0086929508599562,0.0,30.2699767261443,24.75587281638888,2575.0,0.056956900931209,0.0,60.5849990844725,483.059,0.966439652,0.966439652,Europe,Germany,83294000,6501690205.675001
ghana,154103.0,15410.3,1287740.1,42924.67000000001,16966169.488,530192.7964999999,Lower middle income,,,,,,100.0,0.5923011329029114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.593712054249766,0.0,3075968328.696769,0.356531660011413,54570.37501901411,0.0,1.566796243190765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005359970763795,0.0,0.0,0.0,0.0,0.0,526.958,14.93738636,14.93738636,Africa,Ghana,34121000,15678429.388000002
greece,75295856.0,1476389.333333333,6069258.336,108379.6131428571,86025502.079,1536169.679982143,High income,,,,,,93.5864486694336,23.52941176470588,0.0,0.0,0.0,0.0,8.823529411764707,0.0,0.0,0.0,0.0,0.0,0.20288234946759,0.0,2165494296.296296,-8.439202501600676,19201.82102504107,0.0,0.0547845698893069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.05882352941177,0.0,0.0,0.0,0.0,0.0,221.916,0.966439652,0.966439652,Europe,Greece,10196000,79956243.743
greenland,64025.0,4925.0,30540.521,1131.130407407407,854139.8599999999,31634.80962962962,High income,,,,,,97.0552673339844,35.98357596117954,0.0,0.0,0.0,0.0,8.044046285927585,0.0,0.0,31.57146925752836,0.0,0.0,15.176452,0.0,163590954171.8861,6.008298740883546,9628.915216020969,0.0,-1.438401520252228,208.0,0.0,0.306684187754501,0.0054640434069675,0.0,0.0904427995030333,0.0,32.92086599477417,9.969756195664289,1010.3,1.33736802752441,0.0,13.96399998664856,317.3829999999999,..,..,North America,Greenland,56000,823599.3389999999
grenada,563637.0,51239.72727272727,185364.583,6620.163678571428,1832546.307,65448.08239285713,Upper middle income,,,,,,44.6686782836914,59.01025557545173,0.0,0.0,0.0,0.0,12.61598567475175,0.0,0.0,0.0,0.0,0.0,3.20309767666995,0.0,30020146394.11705,7.760507536401576,2253.302978167674,0.0,-1.85688728094101,62.0,0.0,0.0,0.0,0.0,0.0,0.0,25.18720494872213,0.0,0.0,4.12565762333236,0.0,24.62900018692015,227.372,..,..,North America,Grenada,125000,1647181.724
guatemala,602869.0,54806.27272727273,712712.5,13706.00961538462,16796877.0,323016.8653846154,Upper middle income,,,,,,33.3354682922363,28.98684210526315,0.0,0.0,0.0,0.0,10.66856330014225,0.0,0.0,0.0,0.0,0.0,0.082458,0.0,3070275776.06879,1.400002427348852,1540.482544723167,0.0,-2.87537038326263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.41287339971551,0.0,0.0,10.5264162997476,0.0,26.50399971008302,271.535,7.717818182,7.717818182,North America,Guatemala,20316000,16084164.5
guinea,927190.0,154531.6666666667,918403.0,76533.58333333333,925563.35,77130.27916666666,Lower middle income,,,,,,92.5405426025391,6.305562611125222,0.0,0.0,0.0,0.0,2.133604267208534,0.0,0.0,0.0,0.0,0.0,1.0965465150049,0.0,12880436515.58753,63.40678480594023,16330.74378700047,0.0,-0.653703033924103,0.0,0.0,3.03914939830935,0.0,0.0,12.3019331980902,0.0,93.5501143002286,0.0,0.0,19.1861221406636,0.0,61.1439981460571,162.667,8632.196818,8632.196818,Africa,Guinea,14387000,7160.349999999977
guinea-bissau,209.0,209.0,182626.0,30437.66666666667,40470.479,6745.079833333333,Low income,,,,,,93.2067108154297,31.37903297881848,0.0,0.0,0.0,0.0,9.1160961658772,0.0,0.0,0.0,0.0,0.0,10.9182,0.0,52316509111.34155,3.569335831728026,5236.765868504493,0.0,-1.395856082439423,18.0,0.0,0.0007976445293306,0.0,0.0,4.0799618986236e-05,0.0,56.83492716060417,14.76539723042352,105.0,1.21157060008364,0.0,33.20699977874756,359.388,..,..,Africa,Guinea-Bissau,2186000,-142155.521
guyana,3206596.0,80164.9,628503.195,14964.36178571429,11562044.325,256934.3183333334,High income,,,,,,100.0,3.80952380952381,0.0,0.0,0.0,0.0,1.904761904761905,0.0,0.0,0.0,0.0,44.1839,33.1059,0.0,71300000000.0,-0.0780912785505023,95761.6101111616,0.0,3.17935025691986,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6110.0,0.0007016233535633,0.0,19.01400017738342,600.0,..,..,South America,Guyana,813000,10933541.129999999
honduras,536595.663,48781.4239090909,440659.792,12240.54977777778,4920262.619999999,136673.9616666666,Lower middle income,,,,,,100.0,53.72561911023449,9.0,0.0,0.0,0.0,43.96230550076704,0.0,0.0,96.37802044035504,0.0068481045109928,41.533,32.994,236995.0,339023652247.1719,2.633391361878907,34848.64655831725,0.0,1.20828092098236,635.0,0.0,0.0,0.0600945943899353,78793.2,0.0954603976725834,0.0,22.49627438088976,22.93567765243624,944.0,0.25787879152823,1600.0,15.78200006484985,436.28,25.42518182,25.42518182,North America,Honduras,10606000,4479602.827999999
hungary,365018923.587,10139414.54408333,10764621.006,203106.0567169811,457324036.0,8166500.642857143,High income,,,,,,100.0,18.56590300505802,0.0,0.0,0.0,0.0,1.200039670732917,0.0,0.0,99.9092222159848,0.0,17.912066,18.431066,0.0,47177009641.07955,-2.804119849699205,127647.7994276047,0.0,3.1534982919693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5092730338192998,22.31071771923645,0.0,0.000126099707927,0.0,17.67000007629394,564.117,398.1931818,398.1931818,Europe,Hungary,9578000,446559414.994
iceland,952351.0,79362.58333333333,351692.16,6763.310769230769,17071477.94,322103.3573584905,High income,,,,,,99.0,60.21985692135383,826.0,563.0,22.0,15.0,52.25669277779086,0.0,47.5,0.0,0.712680826188464,0.0,1452.235,2704649.0,5841085542613.474,2.351882146893388,4210.535415691644,0.0,0.687875866889953,1053.521,0.0,0.685705524564707,0.0295013637427278,1451442.9,0.247046218586742,0.0,24.27022827333605,0.0,229247.2,1.86457287817847,119125.0,24.73699998855591,216.805,140.202381,140.202381,Europe,Iceland,386000,16719785.780000001
india,1012988614.0,18759048.40740741,10712588.483,232882.3583260869,902841046.705,16415291.75827273,Lower middle income,4.949821428571427,2.24125,6.615178571428572,5.186071428571429,20733.11696428572,96.9499969482422,33.18208763799461,736.0,135.0,16.0,3.0,14.00784759035728,26.5,12.35,42.91662440200628,0.72909835291047,0.0,272.9434,1685369.0,2244781926774.82,1.626235170983847,8162.370174283695,75.5,0.729174733161926,1354.474,95.9990081787109,0.463960403277961,0.488193112503839,390000.0,0.642365487718348,121.3,49.07178036547167,8.312977387166455,33965.6,2.76210237709732,21200.0,17.10400056838989,349.4690000000001,86.25636364,86.25636364,Asia,India,1438069000,892128458.222
indonesia,20422045.0,1361469.666666667,71495413.031,1323989.130203704,2903297882.436,53764775.60066666,Upper middle income,,,,,,100.0,28.97565485362096,0.0,0.0,0.0,0.0,9.642526964560863,0.0,0.0,0.0,0.0109429602942902,0.0,304.3216,4200628.0,231547571240.4694,1.761797090641124,2756.749976875672,0.0,-1.851607918739319,111.0,0.0,1.71151229845363,3.45356372979974,0.0,17.151668986553,0.0,6.626730354391371,0.0,0.0,22.3422122636148,42700.0,45.7710008621215,462.109,16251.15909,16251.15909,Asia,Indonesia,281190000,2831802469.4049997
iran,1957451.0,244681.375,2723959.28,113498.3033333333,41999973.52,1749998.896666667,Upper middle income,,,,,,100.0,65.49571781100305,0.0,0.0,0.0,0.0,6.445057337784875,0.0,0.0,71.57509934045085,0.0,30.627,33.088,0.0,924448527706.7234,19.34563351769668,184574.6454400502,0.0,2.97580647468567,29.0,0.0,0.0078649271336251,0.0,0.0,0.0,0.0,11.35172013354623,16.50888955084999,915.0,0.0219911670663597,0.0,24.22899961471557,386.039,42000,42000,Asia,Iran,89172000,39276014.24
ireland,268278384.314,5475069.067632653,17071580.65,310392.3754545454,1911992398.03,34142721.39339285,High income,,,,,,100.0,29.87060998151571,0.0,0.0,0.0,0.0,17.56007393715342,0.0,3.5,0.0,0.0,0.0,68.51312,45735.0,888692002727.4735,6.034611969549658,95607.65090590056,0.0,2.38000166416169,282.0,0.0,0.0,0.0851746231241773,1200000.0,0.0205122218167043,0.0,6.469500924214418,22.23390134122086,4900.0,0.106087171777755,0.0,18.52300024032593,556.8629999999999,0.966439652,0.966439652,Europe,Ireland,5267000,1894920817.3799999
israel,17258554.0,2876425.666666667,8564766.728,231480.1818378379,816250539.0,18551148.61363636,High income,,,,,,100.0,43.95756753923515,0.0,0.0,0.0,0.0,23.09978797296063,0.0,10.9,0.0,0.0,286.375,271.877,823523.0,3992454262480.987,-2.381878738094869,67386.2576084117,0.0,0.754770427942276,1213.0,0.0,0.0,0.0114465745900466,497541.2,0.0539698862119054,0.0,32.34893496146653,24.84542934542744,7892.0,0.0765955285382078,26950.0,37.64499950408936,430.921,3.6175,3.6175,Asia,Israel,9727000,807685772.272
italy,1093739178.0,17360939.33333333,27262577.689,432739.3283968254,1401355449.653,22243737.29607936,High income,,,,,,100.0,40.99722991689751,0.0,0.0,0.0,0.0,11.0803324099723,0.0,9.7,106.2823730016671,0.0,0.0,4.0157557864888,0.0,27450656032.26535,-5.399999999999991,9251.180751183272,0.0,0.9763031899929048,182.0,0.0,0.0,0.0,0.0,0.0,0.0,55.11449676823638,25.70946569572908,0.0,0.205820750325272,0.0,34.64599990844728,343.271,0.966439652,0.966439652,Europe,Italy,58870000,1374092871.9640002
jamaica,1608371.97,67015.49875,361141.6,6566.210909090909,3971759.069,66195.98448333333,Upper middle income,,,,,,100.0,11.99451303155007,0.0,0.0,0.0,0.0,11.25925925925926,0.0,204.54,216.2788852439277,0.0001916861391198,0.0,888.995,16174.0,9977529634545.654,-2.886109016853311,79203.33066461989,0.0,2.9898784160614,756.287,0.0,0.066819190027453,0.0032687680023751,2500.0,0.0008254098434836,0.0,68.40877914951989,0.0,47871.93,0.0977164340149517,117083.0,10.74099993705749,552.0070000000001,156.1563864,156.1563864,North America,Jamaica,2827000,3610617.469
japan,17584998704.0,314017834.0,55398372.509,1204312.445847826,6171559500.126,110206419.6451072,High income,5.412222222222223,3.443888888888889,7.036296296296297,4.362777777777778,20218.67388888889,99.9000015258789,11.58862085276032,0.0,0.0,0.0,0.0,2.319976574993806,0.0,3.8,75.97080787332338,0.0,0.0,18.877,10422.0,88941321267.60564,0.6583803054783601,8688.605248451411,0.0,0.35395297408104,5.0,0.0,0.0,0.0098350831629136,0.0,0.0006027528525939,0.0,1.09804716534901,15.98209819347625,30.0,0.0325510591750997,1250.0,75.4940013885498,551.482,156.6152273,156.6152273,Asia,Japan,124370000,6116161127.617001
jordan,182719.0,11419.9375,180948.099,2872.192047619048,5772233.374000001,88803.59036923078,Lower middle income,,,,,,100.0,79.26925213912656,206.0,38.0,10.0,2.0,10.94684594584584,0.0,0.0,26.6339669103922,0.575777992397512,0.0,97.837436870639,2222457.0,361896653759.1995,1.49999999979579,19163.1269765761,0.0,0.2021355181932452,711.0,0.0,4.63352498193997,0.985110689940521,1151628.0,9.33823510730207,0.0,1.279653294810535,8.318809313828798,12704.0,15.540060010062,4000.0,19.34999990463257,348.661,0.709681818,0.709681818,Asia,Jordan,11628000,5591285.275
